categoria, negocio
COMIDA,tiendasabarrotes
COMIDA,verduras
COMIDA,cremeria
COMIDA,casa_expendiopan
COMIDA,abarrotes
COMIDA,naturales
COMIDA,tiendaabarrores
COMIDA,dulces
COMIDA,moleagranel
COMIDA,frutasverduras
COMIDA,locatariopublico_abarrotes
COMIDA,salsashabanero
COMIDA,frutaslegumbres
COMIDA,verdurafruta_frutaverdura
COMIDA,carne
COMIDA,legumbres
COMIDA,fotografa_abarrotes
COMIDA,carniceria
COMIDA,dulceria
COMIDA,chilessecos
COMIDA,pollera_polleria
COMIDA,recauderia
COMIDA,dulcesgolocinaspasadita
COMIDA,panaderia
COMIDA,locatario_abarrotes
COMIDA,fruta
COMIDA,abarrotesmateriasprimas
COMIDA,tortillera_tortilleria
COMIDA,tiendaabarrotes
PAPELERIA,modista_papeleria
PAPELERIA,encargada_papeleriaregalos
PAPELERIA,puestopapeleria
PAPELERIA,regalospapeleria
PAPELERIA,papeleria_papeleriacafeinternet
PAPELERIA,papelerias
PAPELERIA,papeleria
RESTAURANTES,restaurante
RESTAURANTES,fuentesodasgranada
RESTAURANTES,qfbemprendedor_cocinarestaurante
RESTAURANTES,repostera_tiendapostres
RESTAURANTES,comidallevar
RESTAURANTES,casa_chetoschicharrones
RESTAURANTES,polleria
RESTAURANTES,emprendedor_pan
RESTAURANTES,comidallevarcomedor
RESTAURANTES,taquerias
RESTAURANTES,comidaantojitosrefrescos
RESTAURANTES,desayunos
RESTAURANTES,barista_cafeteria
RESTAURANTES,comidarapida
RESTAURANTES,elaboracionalimentos
RESTAURANTES,cocinerapastelera_libros
RESTAURANTES,comedorescolar
RESTAURANTES,jugoslicuadosensaladas
RESTAURANTES,taquera_taqueria
RESTAURANTES,antojerias
RESTAURANTES,tacoscanasta_desayunosdulceriadirigidosaestudianteszonaescolar
RESTAURANTES,taquerialoncheria
RESTAURANTES,tamalerias
RESTAURANTES,desayunoscomidacorrida
RESTAURANTES,tacos
RESTAURANTES,alimentos
RESTAURANTES,comida
RESTAURANTES,propio_cocina
RESTAURANTES,elaboracionflanespostres
RESTAURANTES,propio_cocinaeconimica
RESTAURANTES,reposteraindependiete_reposteriacreativaeventos
RESTAURANTES,antojitosmexicanosrefrescos
RESTAURANTES,postres_polleria
RESTAURANTES,cocinaeconomica
RESTAURANTES,antojeras
RESTAURANTES,frutasverduraskilofrutapicadacokteles
RESTAURANTES,ventas_desayunos
RESTAURANTES,jugoslicuados
RESTAURANTES,restaurant_playerassudaderasnovedad
RESTAURANTES,jugoslicuadosfruta
RESTAURANTES,mariscos
RESTAURANTES,hotcakes
RESTAURANTES,paleteriasnacks
RESTAURANTES,postres
RESTAURANTES,empresaria_jugosnaranjazanahoriatoronja
RESTAURANTES,tacospostresdulces
RESTAURANTES,cafeteria
RESTAURANTES,propio_tortaspancafé
RESTAURANTES,cocinera_cocinaeconomica
RESTAURANTES,tamales
RESTAURANTES,desempleo_comida
SALUD,consultoriodental
SALUD,enfermera_medico
SALUD,costurera_consultadental
SALUD,salud
SALUD,cirujanodentista_puestoviapublica
SALUD,tiendasuplementosalimenticios
SALUD,dentista
SALUD,optometrista_opticacompraventaanteojos
SALUD,optometrista_optica
SALUD,terapeuta
ELECTRONICOS,comida_reparacioncelularesrecargaselectronicas
ELECTRONICOS,gerentegeneral_reparaciontelefonos
ELECTRONICOS,celular_reparaciontelefoniacelular
ELECTRONICOS,accesorioscelulareselectronica
ELECTRONICOS,accesoriostelefonicos
ELECTRONICOS,cafeinternet
ELECTRONICOS,operador_electrodomésticoselectronica
ELECTRONICOS,mercadoanahuacanexo
ELECTRONICOS,electronica_reparacionelectronica
ELECTRONICOS,mercadoanahuacanexo_rentaequiposcomputo
ELECTRONICOS,internet
ELECTRONICOS,impresos
BELLEZA,manicurista_estelicacasa
BELLEZA,estética
BELLEZA,estetica
BELLEZA,decoradorauas_salonbelleza
BELLEZA,salonuas
BELLEZA,enprendedoraautoempleada_estéticabarberia
BELLEZA,consultoriopodologicozapatos_papeleria
BELLEZA,estilista_salon
BELLEZA,catalogocosmeticos
BELLEZA,estilista
BELLEZA,peluquero_peluqueria
BELLEZA,uas_aplicacionuas
BELLEZA,aplicadoruas_salonbelleza
BELLEZA,regaloscosmeticos
BELLEZA,diseadorauas_salonbelleza
BELLEZA,tratamientofacialesmasajes
BELLEZA,estilista_pancita
BELLEZA,cosmeticos
BELLEZA,terapeuta_cosmeticacorporal
BELLEZA,estilista_esteticaa
BELLEZA,uas
BELLEZA,tiendacosmeticos
MASCOTAS,esteticacanina
MASCOTAS,alimentomascotas
MASCOTAS,encargado_esteticacaninaalimentoarticulosmascota
MASCOTAS,mvz_mascotas
MASCOTAS,locatario_alimentomascotas
ARREGLOSGENERAL,pintura
ARREGLOSGENERAL,profesionales
ARREGLOSGENERAL,pinturas
ARREGLOSGENERAL,comerciánte_planchaduria
ARREGLOSGENERAL,zapateria
ARREGLOSGENERAL,reparadoracalzados_cafetería
ARREGLOSGENERAL,artistauas_aplicacionuasacrilicas
ARREGLOSGENERAL,zapatosbelleza
ARREGLOSGENERAL,impresor
ARREGLOSGENERAL,florerias
ARREGLOSGENERAL,tiendasregalos
ARREGLOSGENERAL,herrero_herreria
ARREGLOSGENERAL,plomería_gelatinas
ARREGLOSGENERAL,zapatero_reparadoracalzado
ARREGLOSGENERAL,artesana_tallercostura
ARREGLOSGENERAL,zapatos_optica
ARREGLOSGENERAL,propiolavanderia_imprenta
ARREGLOSGENERAL,autoempleada_lavanderíaplanchaduría
ARREGLOSGENERAL,lavanderia
ARREGLOSGENERAL,lavanderias
ARREGLOSGENERAL,vulcanizador
ARREGLOSGENERAL,trabajadorvulcanizadora_administrativos
ARREGLOSGENERAL,zapaterias
MUSICA,productormusical_estudiograbacioncasero
MUSICA,rentaequipoaudioeiluminacion_rentaequipoaudiotodotipoeventos
MUSICA,discjockeydj_arreglosartificiales
VENTAPRODUCTOS,juguetes
VENTAPRODUCTOS,artesaniaplumaria
VENTAPRODUCTOS,feriate_juegomecanico
VENTAPRODUCTOS,recuerdosaccesorioshechosamano
VENTAPRODUCTOS,ventasarticulosmerceria
VENTAPRODUCTOS,regalosnovedades
VENTAPRODUCTOS,regalosaccesorios
VENTAPRODUCTOS,vendozapatocatalogo
VENTAPRODUCTOS,catalogos
VENTAPRODUCTOS,tiendaarticulos
VENTAPRODUCTOS,serigrafia_regalos
VENTAPRODUCTOS,puestotianguis
VENTAPRODUCTOS,puestorevista_postres
VENTAPRODUCTOS,recuerdoseventossociales
VENTAPRODUCTOS,envolturasregalosarticulosgeneral
VENTAPRODUCTOS,ambulante_tienda
VENTAPRODUCTOS,envolturasregalos
VENTAPRODUCTOS,bolsas
VENTAPRODUCTOS,catalogo
VENTAPRODUCTOS,manualidades
VENTAPRODUCTOS,hogarregalos
INDUSTRIA,artesaniamexicana
INDUSTRIA,refaccionesindustriales
INDUSTRIA,topografía
INDUSTRIA,impresor_publicidadeimpresion
INDUSTRIA,emprendimiento_jarceria
INDUSTRIA,lashista
