CP,Estado,Municipio,Tipo de Asentamiento,Asentamiento,Clave de Oficina
9830,Ciudad de México,Iztapalapa,Colonia,Paraje San Juan,9821
9837,Ciudad de México,Iztapalapa,Colonia,San Miguel 8va. Ampliación,9821
9838,Ciudad de México,Iztapalapa,Colonia,Plan de Iguala,9821
9839,Ciudad de México,Iztapalapa,Colonia,Ampliación Paraje San Juan,9821
9839,Ciudad de México,Iztapalapa,Colonia,San Juan Joya,9821
9840,Ciudad de México,Iztapalapa,Pueblo,Los Reyes Culhuacán,9821
9849,Ciudad de México,Iztapalapa,Colonia,Ampliación Los Reyes,9821
9850,Ciudad de México,Iztapalapa,Colonia,San Juan Xalpa,9821
9850,Ciudad de México,Iztapalapa,Colonia,San Nicolás Tolentino,9821
9850,Ciudad de México,Iztapalapa,Colonia,Santa María del Monte,9821
9856,Ciudad de México,Iztapalapa,Colonia,Estado de Veracruz,9821
9856,Ciudad de México,Iztapalapa,Colonia,Ampliación Veracruzana,9821
9858,Ciudad de México,Iztapalapa,Colonia,Paraje San Juan Cerro,9821
9859,Ciudad de México,Iztapalapa,Colonia,Benito Juárez,9821
9860,Ciudad de México,Iztapalapa,Colonia,Bellavista,9821
9860,Ciudad de México,Iztapalapa,Colonia,Ampliación Bellavista,9821
9860,Ciudad de México,Iztapalapa,Colonia,Casa Blanca,9821
9860,Ciudad de México,Iztapalapa,Colonia,Cerro de La Estrella,9821
9860,Ciudad de México,Iztapalapa,Colonia,Parque Nacional Cerro de la Estrella,9821
9860,Ciudad de México,Iztapalapa,Colonia,El Rodeo,9821
9868,Ciudad de México,Iztapalapa,Colonia,San Juan Estrella,9821
9870,Ciudad de México,Iztapalapa,Colonia,12 de Diciembre,9821
9870,Ciudad de México,Iztapalapa,Colonia,San Andrés Tomatlán,9821
9870,Ciudad de México,Iztapalapa,Pueblo,San Andrés Tomatlán,9821
9870,Ciudad de México,Iztapalapa,Pueblo,Santa María Tomatlán,9821
9880,Ciudad de México,Iztapalapa,Colonia,El Vergel,9821
9880,Ciudad de México,Iztapalapa,Colonia,Granjas Estrella,9821
9890,Ciudad de México,Iztapalapa,Colonia,Lomas Estrella,9821
9897,Ciudad de México,Iztapalapa,Colonia,Carlos Jonguitud Barrios,9821
9900,Ciudad de México,Iztapalapa,Barrio,Guadalupe,9291
9900,Ciudad de México,Iztapalapa,Barrio,San Antonio,9291
9900,Ciudad de México,Iztapalapa,Barrio,San Lorenzo,9291
9910,Ciudad de México,Iztapalapa,Colonia,La Esperanza,9291
9920,Ciudad de México,Iztapalapa,Colonia,José López Portillo,9291
9930,Ciudad de México,Iztapalapa,Colonia,El Rosario,9291
9940,Ciudad de México,Iztapalapa,Colonia,Jardines de San Lorenzo Tezonco,9291
9960,Ciudad de México,Iztapalapa,Colonia,Celoalliotli,9291
9960,Ciudad de México,Iztapalapa,Colonia,USCOVI,9291
9960,Ciudad de México,Iztapalapa,Colonia,El Molino Tezonco,9291
9960,Ciudad de México,Iztapalapa,Colonia,Allapetlalli,9291
9960,Ciudad de México,Iztapalapa,Colonia,La Planta,9291
9969,Ciudad de México,Iztapalapa,Colonia,Cananea,9291
9970,Ciudad de México,Iztapalapa,Colonia,Valle de San Lorenzo,9291
10000,Ciudad de México,La Magdalena Contreras,Colonia,Lomas Quebradas,10021
10010,Ciudad de México,La Magdalena Contreras,Colonia,La Malinche,10021
10010,Ciudad de México,La Magdalena Contreras,Colonia,San Bartolo Ameyalco,10021
10020,Ciudad de México,La Magdalena Contreras,Colonia,Cuauhtémoc,10021
10130,Ciudad de México,La Magdalena Contreras,Colonia,El Maestro,10101
10200,Ciudad de México,La Magdalena Contreras,Colonia,San Jerónimo Lídice,10701
10300,Ciudad de México,La Magdalena Contreras,Pueblo,San Bernabé Ocotepec,10021
10320,Ciudad de México,La Magdalena Contreras,Colonia,El Tanque,10021
10330,Ciudad de México,La Magdalena Contreras,Colonia,Las Cruces,10021
10340,Ciudad de México,La Magdalena Contreras,Colonia,Los Padres,10021
