alcaldia,colonia,casos_activos,poblacion_total,porcentaje_activos,cp
alvaro obregon,barrio norte,57,14367.414209999999,0.2562,1410
alvaro obregon,jalalpa el grande,47,10972.24561,0.21120000000000003,1377
alvaro obregon,jardines del pedregal,39,13817.0,0.1753,1900
alvaro obregon,merced gomez,48,6992.834615000001,0.2157,1600
alvaro obregon,olivar del conde 2da seccion ii,37,8191.441839,0.1663,1408
alvaro obregon,piloto (adolfo lopez mateos),30,6208.592993,0.1348,1290
alvaro obregon,olivar del conde 1ra seccion i,37,7592.288631,0.1663,1400
benito juarez,san simon ticumac,32,11230.53824,0.1438,3660
benito juarez,portales i,34,9765.0,0.1528,3300
benito juarez,portales iii,32,9885.0,0.1438,3300
coyoacan,pedregal de sto domingo iii,42,10067.0,0.1888,4369
coyoacan,pedregal de santa ursula iii,48,9813.691159,0.2157,4600
coyoacan,pedregal de santa ursula i,31,9774.987041,0.13929999999999998,4369
coyoacan,pedregal de sto domingo vi,40,13673.0,0.17980000000000002,4369
coyoacan,pedregal de santa ursula iv,48,11536.72986,0.2157,4369
cuauhtemoc,centro iv,47,8641.0,0.21120000000000003,12400
cuauhtemoc,santa maria la ribera iv,54,10194.0,0.2427,16450
cuauhtemoc,santa maria la ribera i,36,14650.0,0.1618,16450
cuauhtemoc,atlampa,31,12082.2518,0.13929999999999998,6450
cuauhtemoc,transito,45,9997.460906,0.2022,6820
cuauhtemoc,doctores i,26,10325.0,0.11689999999999999,6720
cuauhtemoc,roma norte iii,36,12099.316990000001,0.1618,6700
cuauhtemoc,centro vi,27,8070.0,0.1213,12400
cuauhtemoc,roma norte ii,22,7977.0,0.0989,6700
cuauhtemoc,obrera iv,31,7716.0,0.13929999999999998,6800
cuauhtemoc,centro viii,30,11091.31132,0.1348,12400
gustavo a. madero,la pradera,33,8923.064598,0.1483,7500
gustavo a. madero,san pedro zacatenco (pblo),30,8228.582677,0.1348,7360
gustavo a. madero,nueva tenochtitlan,51,8249.063849,0.22920000000000001,7890
gustavo a. madero,san felipe de jesus ii,39,11984.68438,0.1753,7510
gustavo a. madero,gertrudis sanchez 3a seccion,38,8346.064328,0.17079999999999998,7830
iztacalco,santa anita,38,10343.0,0.17079999999999998,8300
iztacalco,agricola oriental vi,24,12555.0,0.10789999999999998,8500
iztapalapa,desarrollo urbano quetzalcoatl  iii,36,20740.46396,0.1618,9700
iztapalapa,santa martha acatitla,26,16117.37678,0.11689999999999999,9140
iztapalapa,lomas de san lorenzo i,52,11693.34272,0.23370000000000002,9709
iztapalapa,san lorenzo tezonco (pblo),41,10665.524220000001,0.1843,9790
iztapalapa,escuadron 201,35,12633.114379999999,0.1573,9060
miguel hidalgo,anahuac i,67,16748.0,0.3011,11320
miguel hidalgo,popotla ii,34,10297.6084,0.1528,11400
miguel hidalgo,escandon ii,27,16115.0,0.1213,11800
miguel hidalgo,tlaxpana,35,8322.0,0.1573,11370
milpa alta,san antonio tecomitl (pblo),168,26387.2699,0.7551,12100
milpa alta,san pablo oztotepec (pblo),117,7368.7531739999995,0.5257999999999999,12400
milpa alta,san salvador cuauhtenco (pblo),75,8079.743818000001,0.3371,12300
tlahuac,san francisco tlaltenco (pblo),103,15252.130980000002,0.46290000000000003,13400
tlahuac,san miguel zapotitla,43,12668.44713,0.19329999999999997,13310
tlahuac,la conchita i,22,22244.69160768453,0.0989,13360
tlahuac,selene (ampl),46,1579.460839,0.20670000000000002,13420
tlahuac,jaime torres bodet,44,7171.587334999999,0.1978,13530
tlahuac,selene 1a secc,40,6933.392438,0.17980000000000002,13420
tlahuac,san andres mixquic (pblo),61,14062.04239,0.2742,13099
tlahuac,los olivos,39,8389.952720000001,0.1753,13210
tlalpan,san andres totoltepec (pblo),77,26702.742430000002,0.3461,14400
tlalpan,miguel hidalgo - tlal,65,13276.786890000001,0.2921,13200
tlalpan,san pedro martir (pblo),41,15329.730669999999,0.1843,14650
tlalpan,pedregal de sn nicolas 1a secc,57,10731.16554,0.2562,14100
tlalpan,ampliacion miguel hidalgo 2a secc,48,15274.383999999998,0.2157,14250
tlalpan,san miguel ajusco (pblo),30,12131.17314,0.1348,14700
tlalpan,pedregal de sn nicolas 2a secc,25,7795.1192790000005,0.1124,14100
tlalpan,lomas de  padierna ii,42,8193.444812,0.1888,14240
tlalpan,pedregal de sn nicolas 3a secc,38,10000.50486,0.17079999999999998,14100
venustiano carranza,moctezuma 2a seccion ii,28,10259.0,0.1258,15500
venustiano carranza,morelos ii - vc,38,17867.0,0.17079999999999998,15270
venustiano carranza,el arenal 4a seccion,39,12058.8826,0.1753,15640
xochimilco,santiago tepalcatlalpan (pblo),44,22773.44839,0.1978,16200
alvaro obregon,san bartolo ameyalco (pblo),106,24204.448969999998,0.4764,1800
alvaro obregon,la martinica,53,6099.612231,0.2382,1619
alvaro obregon,piloto (adolfo lopez mateos) (ampl),47,9423.962255,0.21120000000000003,1290
