alcaldia,eci,c_p,colonia,negocio,categoria,porcentaje_infectados,num_empleados
azcapotzalco,3.8655088585,13530,jaime torres bodet,zapatosbelleza,arreglosgeneral,0.1978,2
azcapotzalco,3.8655088585,2100,el rosario,manufacturados,industria,0.1573,0
azcapotzalco,3.8655088585,2459,tezozomoc,antojerias,restaurantes,0.1303,3
azcapotzalco,3.8655088585,6720,doctores,fotografia,fotografia,0.1169,3
azcapotzalco,3.8655088585,2459,tezozomoc,catalogo,ventaproductos,0.1303,2
azcapotzalco,3.8655088585,2100,el rosario,tiendasabarrotes,comida,0.1573,0
azcapotzalco,3.8655088585,2100,el rosario,tiendasropa,ropa,0.1573,0
cuajimalpa de morelos,3.8546168360000004,1400,olivar del conde 1a seccin,manufacturados,industria,0.1663,2
cuajimalpa de morelos,3.8546168360000004,8930,campamento 2 de octubre,boneterias,ropa,0.1124,1
miguel hidalgo,4.1527924150999995,11400,popotla,zapatosbelleza,arreglosgeneral,0.1528,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comidallevarcomedor,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,antojerias,restaurantes,0.1528,1
miguel hidalgo,4.1527924150999995,11800,escandon,papelerias,papeleria,0.1213,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,antojeras,restaurantes,0.1573,2
miguel hidalgo,4.1527924150999995,11400,popotla,profesionales,arreglosgeneral,0.1528,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comidallevarcomedor,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,tamalerias,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,comidallevarcomedor,restaurantes,0.1528,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,antojerias,restaurantes,0.1573,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,antojerias,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,antojerias,restaurantes,0.1573,5
miguel hidalgo,4.1527924150999995,11370,tlaxpana,panaderia,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,panaderia,comida,0.1573,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,panaderia,comida,0.1573,2
miguel hidalgo,4.1527924150999995,11800,escandon,manualidades,ventaproductos,0.1213,1
miguel hidalgo,4.1527924150999995,11800,escandon,manualidades,ventaproductos,0.1213,1
miguel hidalgo,4.1527924150999995,11800,escandon,manualidades,ventaproductos,0.1213,2
miguel hidalgo,4.1527924150999995,11800,escandon,manualidades,ventaproductos,0.1213,3
miguel hidalgo,4.1527924150999995,11800,escandon,manualidades,ventaproductos,0.1213,1
miguel hidalgo,4.1527924150999995,11400,popotla,comidallevarcomedor,restaurantes,0.1528,2
miguel hidalgo,4.1527924150999995,11400,popotla,taquerias,restaurantes,0.1528,0
miguel hidalgo,4.1527924150999995,11400,popotla,antojerias,restaurantes,0.1528,3
miguel hidalgo,4.1527924150999995,11400,popotla,reparacionmantenimientorentamaquinariaequipogeneral,industria,0.1528,4
miguel hidalgo,4.1527924150999995,11400,popotla,rentamaquinariaequipogeneral,industria,0.1528,4
miguel hidalgo,4.1527924150999995,11370,tlaxpana,rentamaquinariaequipogeneral,industria,0.1573,3
azcapotzalco,3.8655088585,2120,san martin xochinahuac,desayunos,restaurantes,0.17980000000000002,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,desayunoscomidacorrida,restaurantes,0.17980000000000002,3
azcapotzalco,3.8655088585,2120,san martin xochinahuac,catalogocosmeticos,belleza,0.17980000000000002,2
miguel hidalgo,4.1527924150999995,11400,popotla,panaderia,comida,0.1528,1
azcapotzalco,3.8655088585,2100,el rosario,artesana_muecostejidoscosmeticos,industria,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,estetica,belleza,0.1528,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,mecanicohojalatero_mecanicahojalateria,industria,0.2022,2
miguel hidalgo,4.1527924150999995,11400,popotla,mecanicobicicletas_mecanicabicicletas,industria,0.1528,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,repostera_tiendapostres,restaurantes,0.2022,1
azcapotzalco,3.8655088585,2100,el rosario,cafeinternet,electronicos,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,desayunos,restaurantes,0.1573,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,eventosfiesta,industria,0.17980000000000002,2
azcapotzalco,3.8655088585,2459,tezozomoc,abarrotes,comida,0.1303,2
miguel hidalgo,4.1527924150999995,11400,popotla,productormusical_estudiograbacioncasero,musica,0.1528,3
miguel hidalgo,4.1527924150999995,11370,tlaxpana,semifijo_cristaleria,industria,0.1573,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,frutasverduras,comida,0.17980000000000002,4
miguel hidalgo,4.1527924150999995,11400,popotla,refaccionesindustriales,industria,0.1528,2
azcapotzalco,3.8655088585,2100,el rosario,fruta,comida,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,comida,restaurantes,0.1573,5
miguel hidalgo,4.1527924150999995,11400,popotla,manicurista_estelicacasa,belleza,0.1528,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,tiendaabarrotes,comida,0.17980000000000002,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,jugoslicuadosfruta,restaurantes,0.2022,3
azcapotzalco,3.8655088585,2400,san juan tlihuaca,ropausadachacharatianguis_puestoropachacharatianguishuizotladebidoacontingencianonosdejanponernosdurante30diasnopudetomarlefotosalpuestosolotengofotosmimercancia,ropa,0.2022,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,cocinaeconomica,restaurantes,0.2022,4
azcapotzalco,3.8655088585,2400,san juan tlihuaca,panaderia,comida,0.2022,2
azcapotzalco,3.8655088585,2459,tezozomoc,impresor_publicidadeimpresion,industria,0.1303,1
azcapotzalco,3.8655088585,2100,el rosario,tiendacosmeticos,belleza,0.1573,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,elaboracionflanespostres,restaurantes,0.17980000000000002,2
azcapotzalco,3.8655088585,2100,el rosario,papeleria,papeleria,0.1573,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,sastre_sastreria,ropa,0.2022,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,mercadoanahuacanexo_rentaequiposcomputo,electronicos,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,dulceria,comida,0.1573,2
miguel hidalgo,4.1527924150999995,11400,popotla,terapeuta_cosmeticacorporal,belleza,0.1528,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,accesoriostelefonicos,electronicos,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,optometrista_optica,salud,0.1573,1
azcapotzalco,3.8655088585,2459,tezozomoc,lavanderia,arreglosgeneral,0.1303,2
azcapotzalco,3.8655088585,2459,tezozomoc,internet,electronicos,0.1303,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,ambulante_tienda,ventaproductos,0.2022,4
azcapotzalco,3.8655088585,2400,san juan tlihuaca,electronica_reparacionelectronica,electronicos,0.2022,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,cosmeticosbisuteria,ropa,0.17980000000000002,1
azcapotzalco,3.8655088585,2100,el rosario,tiendaabarrotes,comida,0.1573,2
azcapotzalco,3.8655088585,2100,el rosario,dulceria,comida,0.1573,1
azcapotzalco,3.8655088585,2459,tezozomoc,recauderia,comida,0.1303,2
azcapotzalco,3.8655088585,2459,tezozomoc,tamales,restaurantes,0.1303,1
azcapotzalco,3.8655088585,2100,el rosario,dulces,comida,0.1573,3
miguel hidalgo,4.1527924150999995,11400,popotla,reposteraindependiete_reposteriacreativaeventos,restaurantes,0.1528,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,puestobisuteria,ropa,0.1573,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,cocinaeconomica,restaurantes,0.17980000000000002,2
azcapotzalco,3.8655088585,2459,tezozomoc,serigrafiasublimacion,industria,0.1303,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,peluquero_peluqueria,belleza,0.17980000000000002,2
azcapotzalco,3.8655088585,2100,el rosario,optometrista_opticacompraventaanteojos,salud,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,jugueteria,industria,0.1573,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,puestoaceroinoxidable,industria,0.1573,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,mariscos,restaurantes,0.2022,3
miguel hidalgo,4.1527924150999995,11400,popotla,taquerialoncheria,restaurantes,0.1528,1
azcapotzalco,3.8655088585,2100,el rosario,comidarapida,restaurantes,0.1573,3
azcapotzalco,3.8655088585,2120,san martin xochinahuac,propio_cocinaeconimica,restaurantes,0.17980000000000002,4
azcapotzalco,3.8655088585,2459,tezozomoc,barista_cafeteria,restaurantes,0.1303,3
miguel hidalgo,4.1527924150999995,11400,popotla,estilista_esteticaa,belleza,0.1528,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,ventas_desayunos,restaurantes,0.2022,1
azcapotzalco,3.8655088585,2100,el rosario,mvz_mascotas,mascotas,0.1573,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,jugoslicuadosensaladas,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,restaurante,restaurantes,0.1528,0
azcapotzalco,3.8655088585,2100,el rosario,papeleria_papeleriacafeinternet,papeleria,0.1573,0
azcapotzalco,3.8655088585,2400,san juan tlihuaca,lavanderias,arreglosgeneral,0.2022,5
azcapotzalco,3.8655088585,2459,tezozomoc,celular_reparaciontelefoniacelular,electronicos,0.1303,2
azcapotzalco,3.8655088585,2459,tezozomoc,aplicadoruas_salonbelleza,belleza,0.1303,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,envolturasregalosarticulosgeneral,ventaproductos,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,ropamujernio,ropa,0.1573,2
azcapotzalco,3.8655088585,2100,el rosario,uas_aplicacionuas,belleza,0.1573,2
azcapotzalco,3.8655088585,2100,el rosario,fabricantecocinasclosets,industria,0.1573,4
azcapotzalco,3.8655088585,2400,san juan tlihuaca,salsashabanero,comida,0.2022,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,estilista,belleza,0.17980000000000002,1
azcapotzalco,3.8655088585,2100,el rosario,ropa,ropa,0.1573,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,estilista_salon,belleza,0.2022,1
miguel hidalgo,4.1527924150999995,11400,popotla,puestopapeleria,papeleria,0.1528,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,restaurant_playerassudaderasnovedad,restaurantes,0.1573,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,gerentegeneral_reparaciontelefonos,electronicos,0.17980000000000002,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,papeleria,papeleria,0.17980000000000002,1
azcapotzalco,3.8655088585,2100,el rosario,estetica,belleza,0.1573,3
azcapotzalco,3.8655088585,2100,el rosario,tacoscanasta_desayunosdulceriadirigidosaestudianteszonaescolar,restaurantes,0.1573,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,estetica,belleza,0.17980000000000002,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,modista_papeleria,papeleria,0.17980000000000002,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,encargada_papeleriaregalos,papeleria,0.2022,3
miguel hidalgo,4.1527924150999995,11400,popotla,cosmeticos,belleza,0.1528,2
azcapotzalco,3.8655088585,2100,el rosario,serigrafia_fotografia,fotografia,0.1573,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,tacospostresdulces,restaurantes,0.2022,2
miguel hidalgo,4.1527924150999995,11400,popotla,antojitosmexicanosrefrescos,restaurantes,0.1528,3
azcapotzalco,3.8655088585,2100,el rosario,recuerdoseventossociales,ventaproductos,0.1573,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,estética,belleza,0.1573,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,costurera_consultadental,salud,0.2022,1
azcapotzalco,3.8655088585,2459,tezozomoc,tiendaabarrotes,comida,0.1303,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,propio_tortaspancafé,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,operador_electrodomésticoselectronica,electronicos,0.1528,4
azcapotzalco,3.8655088585,2100,el rosario,alimentos,restaurantes,0.1573,0
miguel hidalgo,4.1527924150999995,11400,popotla,puestorevista_postres,ventaproductos,0.1528,0
azcapotzalco,3.8655088585,2459,tezozomoc,fotografa_abarrotes,comida,0.1303,1
azcapotzalco,3.8655088585,2459,tezozomoc,salonuas,belleza,0.1303,4
miguel hidalgo,4.1527924150999995,11370,tlaxpana,serigrafia_regalos,ventaproductos,0.1573,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,discjockeydj_arreglosartificiales,musica,0.1573,0
azcapotzalco,3.8655088585,2120,san martin xochinahuac,accesorioscelulareselectronica,electronicos,0.17980000000000002,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,estilista_pancita,belleza,0.17980000000000002,2
azcapotzalco,3.8655088585,2100,el rosario,consultoriodental,salud,0.1573,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,salud,salud,0.2022,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,trabajadorvulcanizadora_administrativos,arreglosgeneral,0.17980000000000002,3
miguel hidalgo,4.1527924150999995,11370,tlaxpana,cafeteria,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comida_reparacioncelularesrecargaselectronicas,electronicos,0.1573,2
miguel hidalgo,4.1527924150999995,11400,popotla,ropa,ropa,0.1528,1
azcapotzalco,3.8655088585,2459,tezozomoc,microempresario_accesoriosmoda,ropa,0.1303,2
azcapotzalco,3.8655088585,2100,el rosario,instalacionmantenimientocalderas,industria,0.1573,5
azcapotzalco,3.8655088585,2100,el rosario,puestotianguis,ventaproductos,0.1573,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,artesana_tallercostura,arreglosgeneral,0.17980000000000002,4
miguel hidalgo,4.1527924150999995,11370,tlaxpana,tiendaabarrotes,comida,0.1573,2
azcapotzalco,3.8655088585,2459,tezozomoc,ventas_publicidad,industria,0.1303,3
miguel hidalgo,4.1527924150999995,11400,popotla,naturales,comida,0.1528,1
miguel hidalgo,4.1527924150999995,11400,popotla,estética,belleza,0.1528,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,papeleria,papeleria,0.2022,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,hogarregalos,ventaproductos,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,cocinaeconomica,restaurantes,0.1573,2
miguel hidalgo,4.1527924150999995,11400,popotla,pintorautomotriz_quesadillasgorditassopespambazos,industria,0.1528,9
miguel hidalgo,4.1527924150999995,11400,popotla,internet,electronicos,0.1528,3
miguel hidalgo,4.1527924150999995,11370,tlaxpana,cafeteria,restaurantes,0.1573,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,hotcakes,restaurantes,0.1573,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,postres_polleria,restaurantes,0.17980000000000002,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,propio_cocina,restaurantes,0.17980000000000002,6
azcapotzalco,3.8655088585,2100,el rosario,paleteriasnacks,restaurantes,0.1573,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,consultoriopodologicozapatos_papeleria,belleza,0.2022,1
azcapotzalco,3.8655088585,2459,tezozomoc,costurera_cocina,ropa,0.1303,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,regalosaccesorios,ventaproductos,0.2022,1
azcapotzalco,3.8655088585,2100,el rosario,estetica,belleza,0.1573,0
azcapotzalco,3.8655088585,2400,san juan tlihuaca,docente,industria,0.2022,1
azcapotzalco,3.8655088585,2459,tezozomoc,tacos,restaurantes,0.1303,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,comerciánte_planchaduria,arreglosgeneral,0.2022,1
azcapotzalco,3.8655088585,2459,tezozomoc,qfbemprendedor_cocinarestaurante,restaurantes,0.1303,1
azcapotzalco,3.8655088585,2459,tezozomoc,cocinera_tiendaropa,ropa,0.1303,1
azcapotzalco,3.8655088585,2100,el rosario,plomería_gelatinas,arreglosgeneral,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,reparadoracalzados_cafetería,arreglosgeneral,0.1528,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,papeleria,papeleria,0.1573,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,topografía,industria,0.2022,4
azcapotzalco,3.8655088585,2459,tezozomoc,dulceria,comida,0.1303,2
azcapotzalco,3.8655088585,2459,tezozomoc,recauderia,comida,0.1303,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,zapatos_optica,arreglosgeneral,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,barbero_administracionimovillaria,industria,0.2022,2
azcapotzalco,3.8655088585,2459,tezozomoc,cirujanodentista_puestoviapublica,salud,0.1303,7
miguel hidalgo,4.1527924150999995,11400,popotla,cocinerapastelera_libros,restaurantes,0.1528,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,empresaria_jugosnaranjazanahoriatoronja,restaurantes,0.1573,2
miguel hidalgo,4.1527924150999995,11400,popotla,mecánico_alimentos,industria,0.1528,4
miguel hidalgo,4.1527924150999995,11400,popotla,ropa_promocionturística,ropa,0.1528,1
miguel hidalgo,4.1527924150999995,11400,popotla,propiolavanderia_imprenta,arreglosgeneral,0.1528,2
miguel hidalgo,4.1527924150999995,11400,popotla,alimentomascotas,mascotas,0.1528,2
azcapotzalco,3.8655088585,2100,el rosario,consultoria_tiendaropadama,ropa,0.1573,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,artesaniamexicana,industria,0.2022,1
azcapotzalco,3.8655088585,2100,el rosario,mecanicoautomotriz_bisuteriaperfumes,industria,0.1573,2
azcapotzalco,3.8655088585,2459,tezozomoc,tratamientofacialesmasajes,belleza,0.1303,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,desempleo_comida,restaurantes,0.2022,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,casa_expendiopan,comida,0.2022,2
azcapotzalco,3.8655088585,2100,el rosario,enprendedoraautoempleada_estéticabarberia,belleza,0.1573,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comidallevar,restaurantes,0.1573,2
azcapotzalco,3.8655088585,2459,tezozomoc,abarrotesmateriasprimas,comida,0.1303,3
azcapotzalco,3.8655088585,2120,san martin xochinahuac,floricultor_cambaceotelefono,industria,0.17980000000000002,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,panaderia,comida,0.17980000000000002,0
